id,nombre,experticia,opinion
1,Sofia García,1,6
2,Alejandro Torres,7,10
3,Valentina Rodriguez,9,0
4,Juan López,10,1
5,Martina Martinez,7,0
6,Sebastián Pérez,8,9
7,Camila Fernández,2,7
8,Mateo González,4,7
9,Isabella Díaz,7,5
10,Daniel Ruiz,2,9
11,Luciana Sánchez,1,7
12,Lucas Vásquez,6,8
13,Sara,8,1
14,Diego,6,3
15,Juan,9,7
16,Mari,3,10
17,Alex,3,5
18,Anna,4,8
19,Nathalia,4,10
20,Santiago,4,2
21,Nicole,4,5
22,Pedro,4,1
23,Yineth,8,5
24,Leonardo,6,9
25,Amariles,9,7
26,Ortiz,3,10
27,Reyes,3,4
28,Carlos,4,6
29,Oscar,4,3
30,Narvaez,4,2
31,Sam,4,5
32,Juanita,4,1
